,x,y,time,theta
0.0,491.0,-16.0,0.7468922138214111,-0.31219184898018537
1.0,491.0,-16.0,0.76389479637146,-0.31219184898018537
2.0,483.0,-17.5,0.8109185695648193,-0.3133348024003231
3.0,483.0,-17.5,0.8289215564727783,-0.3133348024003231
4.0,491.0,-19.0,1.0020956993103027,-0.3144777471104893
5.0,491.0,-19.0,1.0188710689544678,-0.3144777471104893
6.0,491.0,-19.0,1.0351099967956543,-0.3144777471104893
7.0,493.5,-17.0,1.1470296382904053,-0.3129538188578573
8.0,493.5,-17.0,1.1630337238311768,-0.3129538188578573
9.0,483.0,-12.0,1.7389016151428223,-0.3091439362878942
10.0,483.0,-12.0,1.7549049854278564,-0.3091439362878942
11.0,495.0,-18.5,2.2026727199554443,-0.3140967665542845
12.0,495.0,-18.5,2.2176764011383057,-0.3140967665542845
13.0,495.0,-18.5,2.2346789836883545,-0.3140967665542845
14.0,494.0,-16.0,2.2666497230529785,-0.31219184898018537
15.0,494.0,-16.0,2.2816545963287354,-0.31219184898018537
16.0,10.5,52.5,3.0031981468200684,-0.26000033405314904
17.0,10.5,52.5,3.0182011127471924,-0.26000033405314904
18.0,10.5,52.5,3.0332043170928955,-0.26000033405314904
19.0,10.710843563079834,49.57831573486328,3.0669267177581787,-0.26222581568170944
20.0,10.710843563079834,49.57831573486328,3.082930564880371,-0.26222581568170944
21.0,37.258941650390625,62.786155700683594,3.146939277648926,-0.25216607211648817
22.0,37.258941650390625,62.786155700683594,3.164942502975464,-0.25216607211648817
23.0,70.5,92.5,3.211207866668701,-0.22954415985684368
24.0,70.5,92.5,3.2322113513946533,-0.22954415985684368
25.0,42.0,138.0,3.2752206325531006,-0.19494073895698089
26.0,74.0,113.11111450195312,3.3392348289489746,-0.21386262936645534
27.0,74.0,113.11111450195312,3.356238603591919,-0.21386262936645534
28.0,73.5,105.0,3.403252601623535,-0.2200326417298545
29.0,73.5,105.0,3.417257308959961,-0.2200326417298545
30.0,73.5,105.0,3.4322597980499268,-0.2200326417298545
31.0,116.5,102.5,3.4672656059265137,-0.22193466962637112
32.0,116.5,102.5,3.481269121170044,-0.22193466962637112
33.0,123.0,108.0,3.546851873397827,-0.21775039957964681
34.0,123.0,108.0,3.5628559589385986,-0.21775039957964681
35.0,98.98751068115234,151.29615783691406,3.6108670234680176,-0.1848397668318762
36.0,98.98751068115234,151.29615783691406,3.627871036529541,-0.1848397668318762
37.0,94.13085174560547,139.7810516357422,3.6750361919403076,-0.19358736742647337
38.0,99.6349868774414,151.5982666015625,3.738828182220459,-0.18461032387236243
39.0,99.6349868774414,151.5982666015625,3.7558319568634033,-0.18461032387236243
40.0,123.0,155.5,3.8031980991363525,-0.18164734438704536
41.0,123.0,155.5,3.8192014694213867,-0.18164734438704536
42.0,123.0,155.5,3.8352060317993164,-0.18164734438704536
43.0,134.0,162.5833282470703,3.867218255996704,-0.17626959716188845
44.0,134.0,162.5833282470703,3.884219169616699,-0.17626959716188845
45.0,130.98593139648438,154.90150451660156,3.946913480758667,-0.18210180889344163
46.0,130.98593139648438,154.90150451660156,3.9639174938201904,-0.18210180889344163
47.0,146.2218780517578,145.83578491210938,4.010754346847534,-0.18898728100655685
48.0,146.2218780517578,145.83578491210938,4.027757883071899,-0.18898728100655685
49.0,157.90428161621094,147.25987243652344,4.074770450592041,-0.18790549881274315
50.0,169.15359497070312,152.8255157470703,4.138782024383545,-0.18367829460081672
51.0,169.15359497070312,152.8255157470703,4.153785705566406,-0.18367829460081672
52.0,173.75,152.75,4.202804803848267,-0.18373564326537062
53.0,173.75,152.75,4.219808578491211,-0.18373564326537062
54.0,173.75,152.75,4.235811948776245,-0.18373564326537062
55.0,187.0,155.0,4.266824722290039,-0.18202701600903787
56.0,187.0,155.0,4.2818286418914795,-0.18202701600903787
57.0,201.20396423339844,152.71189880371094,4.346841335296631,-0.18376457839872304
58.0,201.20396423339844,152.71189880371094,4.362849473953247,-0.18376457839872304
59.0,222.0756072998047,147.13116455078125,4.410856246948242,-0.1880032667284824
